id;code;name;detail;app_type;type;purpose;creation_date;last_updated
1;payment;Customer;Virginia;CRM;INTEGRATED;PROFILING;2021-07-17T18:11:45;2021-07-18T00:00:50
2;haptic;Interactions Regional;auxiliary;WEB;TESTING;PROFILING;2021-07-17T21:25:35;2021-07-18T06:05:49
3;indigo;Plastic Group connecting;Ameliorated;WEB;PRODUCTION;MASKING;2021-07-18T02:07:11;2021-07-17T17:49:51
4;Corporate Montana SQL;invoice invoice;Pizza;MESSAGING;STANDALONE;MASKING;2021-07-17T16:29:34;2021-07-18T12:59:19
5;Dollar;solution-oriented;Shirt Product Tuna;HR;STAGING;PROFILING;2021-07-18T06:57:31;2021-07-17T21:56:49
6;invoice standardization Rustic;Implemented mint;bi-directional Coordinator Italy;ANALYTICS;DEVELOPMENT;PROFILING;2021-07-18T04:33:56;2021-07-17T20:06:01
7;quantifying navigating task-force;Principal Bahrain transmitting;website Future;DMS;OTHER;PROFILING;2021-07-18T05:23:01;2021-07-18T12:04:36
8;open-source emulation redundant;withdrawal Metrics Accountability;monitor;MOBILE;STAGING;REPORTING;2021-07-18T07:29:59;2021-07-17T17:30:41
9;haptic group Supervisor;mesh primary leverage;Specialist transition;ERP;INTEGRATED;PROFILING;2021-07-18T06:27:57;2021-07-17T18:51:24
10;Savings Gorgeous;West Loan loyalty;one-to-one;MESSAGING;TESTING;REPORTING;2021-07-18T12:20:27;2021-07-18T03:44:25
