id;code;name;detail;creation_date;last_updated
1;Bouvet Borders Iowa;Human;Burundi Tools;2021-07-18T07:29:42;2021-07-18T10:39:21
2;plum Accountability payment;Group;Creek aggregate;2021-07-18T07:33:43;2021-07-18T04:20:11
3;bluetooth Administrator;Avon Robust Legacy;navigating;2021-07-17T20:25:04;2021-07-18T03:18:58
4;disintermediate Outdoors Beauty;Springs Horizontal Buckinghamshire;Strategist Optimized;2021-07-17T23:42:06;2021-07-18T09:04:23
5;Walk navigating monitor;Verde primary policy;USB toolset;2021-07-17T19:27:22;2021-07-18T00:36:28
6;neural Seamless;Berkshire sensor Web;Gorgeous incremental;2021-07-17T15:25:23;2021-07-17T19:06:11
7;SDD tan Health;Books;bandwidth;2021-07-17T23:55:46;2021-07-17T17:53:10
8;Frozen FTP;Sleek Clothing mission-critical;Shoes Village;2021-07-18T11:49:03;2021-07-18T11:04:31
9;Health Shilling;Factors;bypassing neural override;2021-07-17T22:28:02;2021-07-18T09:04:08
10;Mall;overriding;out-of-the-box;2021-07-18T02:33:06;2021-07-17T20:53:34
