id;code;name;detail;creation_date;last_updated
1;contextually-based Alaska Fresh;Table Micronesia;Center;2021-07-17T19:39:47;2021-07-17T21:53:01
2;functionalities extensible;Total USB e-services;European Junctions digital;2021-07-18T07:36:47;2021-07-17T22:22:02
3;Guadeloupe digital;Malagasy Alley Practical;solution;2021-07-17T18:18:13;2021-07-17T14:08:53
4;Buckinghamshire;Diverse;Brand copying;2021-07-17T15:43:58;2021-07-18T02:02:12
5;payment;Keyboard Optional Carolina;iterate Multi-lateral Specialist;2021-07-17T20:49:34;2021-07-18T07:10:17
6;Assurance systemic;International open-source;Jewelery application users;2021-07-18T08:54:35;2021-07-17T18:38:52
7;pink;microchip index actuating;Computer invoice digital;2021-07-17T17:38:35;2021-07-17T13:58:41
8;Optimization Nakfa;empowering auxiliary payment;withdrawal Pants bluetooth;2021-07-18T01:42:06;2021-07-18T00:52:09
9;task-force Cambridgeshire;impactful;matrix;2021-07-17T16:45:03;2021-07-18T09:59:34
10;calculating Soft interactive;Plastic;Awesome;2021-07-18T06:04:32;2021-07-18T11:17:21
